LOCAL-0302FA;Freguesia;Milhazes, Vilar de Figos e Faria
LOCAL-0302FB;Freguesia;Negreiros e Chavão
LOCAL-0302FC;Freguesia;Quintiães e Aguiar
LOCAL-0302FD;Freguesia;Sequeade e Bastuço (São João e Santo Estevão)
LOCAL-0302FE;Freguesia;Silveiros e Rio Covo (Santa Eulália)
LOCAL-0302FF;Freguesia;Tamel (Santa Leocádia) e Vilar do Monte
LOCAL-0302FG;Freguesia;Viatodos, Grimancelos, Minhotães, Monte de Fralães
LOCAL-0302FH;Freguesia;Vila Cova e Feitos
LOCAL-010000;Distrito;Aveiro
LOCAL-010100;Concelho;Águeda
LOCAL-010103;Freguesia;Aguada de Cima
LOCAL-010109;Freguesia;Fermentelos
LOCAL-010112;Freguesia;Macinhata do Vouga
LOCAL-010119;Freguesia;Valongo do Vouga
LOCAL-010121;Freguesia;Águeda e Borralha
LOCAL-010122;Freguesia;Barrô e Aguada de Baixo
LOCAL-010123;Freguesia;Belazaima do Chão, Castanheira do Vouga e Agadão
LOCAL-010124;Freguesia;Recardães e Espinhel
LOCAL-010125;Freguesia;Travassô e Óis da Ribeira
LOCAL-010126;Freguesia;Trofa, Segadães e Lamas do Vouga
LOCAL-010127;Freguesia;Préstimo e Macieira de Alcoba
LOCAL-010200;Concelho;Albergaria-a-Velha
LOCAL-010202;Freguesia;Alquerubim
LOCAL-010203;Freguesia;Angeja
LOCAL-010204;Freguesia;Branca
LOCAL-010206;Freguesia;Ribeira de Fráguas
LOCAL-010209;Freguesia;Albergaria-a-Velha e Valmaior
LOCAL-010210;Freguesia;São João de Loure e Frossos
LOCAL-010300;Concelho;Anadia
LOCAL-010304;Freguesia;Avelãs de Caminho
LOCAL-010305;Freguesia;Avelãs de Cima
LOCAL-010307;Freguesia;Moita
LOCAL-010309;Freguesia;Sangalhos
LOCAL-010310;Freguesia;São Lourenço do Bairro
LOCAL-010312;Freguesia;Vila Nova de Monsarros
LOCAL-010313;Freguesia;Vilarinho do Bairro
LOCAL-010316;Freguesia;Amoreira da Gândara, Paredes do Bairro e Ancas
LOCAL-010317;Freguesia;Arcos e Mogofores
LOCAL-010318;Freguesia;Tamengos, Aguim e Óis do Bairro
LOCAL-010400;Concelho;Arouca
LOCAL-010402;Freguesia;Alvarenga
LOCAL-010407;Freguesia;Chave
LOCAL-010409;Freguesia;Escariz
LOCAL-010411;Freguesia;Fermedo
LOCAL-010413;Freguesia;Mansores
LOCAL-010414;Freguesia;Moldes
LOCAL-010415;Freguesia;Rossas
LOCAL-010416;Freguesia;Santa Eulália
LOCAL-010417;Freguesia;São Miguel do Mato
LOCAL-010418;Freguesia;Tropeço
LOCAL-010419;Freguesia;Urrô
LOCAL-010420;Freguesia;Várzea
LOCAL-010421;Freguesia;Arouca e Burgo
LOCAL-010422;Freguesia;Cabreiros e Albergaria da Serra
LOCAL-010423;Freguesia;Canelas e Espiunca
LOCAL-010424;Freguesia;Covelo de Paivó e Janarde
LOCAL-010500;Concelho;Aveiro
LOCAL-010501;Freguesia;Aradas
LOCAL-010502;Freguesia;Cacia
LOCAL-010505;Freguesia;Esgueira
LOCAL-010508;Freguesia;Oliveirinha
LOCAL-010510;Freguesia;São Bernardo
LOCAL-010511;Freguesia;São Jacinto
LOCAL-010513;Freguesia;Santa Joana
LOCAL-010515;Freguesia;Eixo e Eirol
LOCAL-010516;Freguesia;Requeixo, Nossa Senhora de Fátima e Nariz
LOCAL-010517;Freguesia;Glória e Vera Cruz
LOCAL-010600;Concelho;Castelo de Paiva
LOCAL-010602;Freguesia;Fornos
LOCAL-010606;Freguesia;Real
LOCAL-010607;Freguesia;Santa Maria de Sardoura
LOCAL-010608;Freguesia;São Martinho de Sardoura
LOCAL-010610;Freguesia;Raiva, Pedorido e Paraíso
LOCAL-010611;Freguesia;Sobrado e Bairros
LOCAL-010700;Concelho;Espinho
LOCAL-010702;Freguesia;Espinho
LOCAL-010704;Freguesia;Paramos
LOCAL-010705;Freguesia;Silvalde
LOCAL-010706;Freguesia;Anta e Guetim
LOCAL-010800;Concelho;Estarreja
LOCAL-010801;Freguesia;Avanca
LOCAL-010805;Freguesia;Pardilhó
LOCAL-010806;Freguesia;Salreu
LOCAL-010808;Freguesia;Beduído e Veiros
LOCAL-010809;Freguesia;Canelas e Fermelã
LOCAL-010900;Concelho;Santa Maria da Feira
LOCAL-010901;Freguesia;Argoncilhe
LOCAL-010902;Freguesia;Arrifana
LOCAL-010904;Freguesia;Escapães
LOCAL-010907;Freguesia;Fiães
LOCAL-010908;Freguesia;Fornos
LOCAL-010913;Freguesia;Lourosa
LOCAL-010914;Freguesia;Milheirós de Poiares
LOCAL-010916;Freguesia;Mozelos
LOCAL-010917;Freguesia;Nogueira da Regedoura
LOCAL-010918;Freguesia;São Paio de Oleiros
LOCAL-010919;Freguesia;Paços de Brandão
LOCAL-010921;Freguesia;Rio Meão
LOCAL-010922;Freguesia;Romariz
LOCAL-010924;Freguesia;Sanguedo
LOCAL-010925;Freguesia;Santa Maria de Lamas
LOCAL-010926;Freguesia;São João de Ver
LOCAL-010932;Freguesia;Caldas de São Jorge e Pigeiros
LOCAL-010933;Freguesia;Canedo, Vale e Vila Maior
LOCAL-010934;Freguesia;Lobão, Gião, Louredo e Guisande
LOCAL-010935;Freguesia;Santa Maria da Feira, Travanca, Sanfins e Espargo
LOCAL-010936;Freguesia;São Miguel de Souto e Mosteirô
LOCAL-011000;Concelho;Ílhavo
LOCAL-011005;Freguesia;Gafanha da Encarnação
LOCAL-011006;Freguesia;Gafanha da Nazaré
LOCAL-011007;Freguesia;Gafanha do Carmo
LOCAL-011008;Freguesia;Ílhavo (São Salvador)
LOCAL-011100;Concelho;Mealhada
LOCAL-011102;Freguesia;Barcouço
LOCAL-011103;Freguesia;Casal Comba
LOCAL-011104;Freguesia;Luso
LOCAL-011106;Freguesia;Pampilhosa
LOCAL-011107;Freguesia;Vacariça
LOCAL-011109;Freguesia;Mealhada, Ventosa do Bairro e Antes
LOCAL-011200;Concelho;Murtosa
LOCAL-011201;Freguesia;Bunheiro
LOCAL-011202;Freguesia;Monte
LOCAL-011203;Freguesia;Murtosa
LOCAL-011204;Freguesia;Torreira
LOCAL-011300;Concelho;Oliveira de Azeméis
LOCAL-011301;Freguesia;Carregosa
LOCAL-011302;Freguesia;Cesar
LOCAL-011303;Freguesia;Fajões
LOCAL-011304;Freguesia;Loureiro
LOCAL-011305;Freguesia;Macieira de Sarnes
LOCAL-011310;Freguesia;Ossela
LOCAL-011315;Freguesia;São Martinho da Gândara
LOCAL-011318;Freguesia;São Roque
LOCAL-011319;Freguesia;Vila de Cucujães
LOCAL-011320;Freguesia;Nogueira do Cravo e Pindelo
LOCAL-011321;Freguesia;O. Azeméis, Riba-Ul, Ul, Macinhata Seixa, Madail
LOCAL-011322;Freguesia;Pinheiro da Bemposta, Travanca e Palmaz
LOCAL-011400;Concelho;Oliveira do Bairro
LOCAL-011403;Freguesia;Oiã
LOCAL-011404;Freguesia;Oliveira do Bairro
LOCAL-011405;Freguesia;Palhaça
LOCAL-011407;Freguesia;Bustos, Troviscal e Mamarrosa
LOCAL-011500;Concelho;Ovar
LOCAL-011502;Freguesia;Cortegaça
LOCAL-011503;Freguesia;Esmoriz
LOCAL-011504;Freguesia;Maceda
LOCAL-011507;Freguesia;Válega
LOCAL-011509;Freguesia;Ovar, S.João, Arada e S.Vicente de Pereira Jusã
LOCAL-011600;Concelho;São João da Madeira
LOCAL-011601;Freguesia;São João da Madeira
LOCAL-011700;Concelho;Sever do Vouga
LOCAL-011702;Freguesia;Couto de Esteves
LOCAL-011704;Freguesia;Pessegueiro do Vouga
LOCAL-011705;Freguesia;Rocas do Vouga
LOCAL-011706;Freguesia;Sever do Vouga
LOCAL-011708;Freguesia;Talhadas
LOCAL-011710;Freguesia;Cedrim e Paradela
LOCAL-011711;Freguesia;Silva Escura e Dornelas
