LocationId,LocationName,BlankVotes,BlankVotesPercentage,NullVotes,NullVotesPercentage,NumberParishes,NumberVoters,PercentageVoters,PS_Mandates,PS_Percentage,PS_ValidVotesPercentage,PS_Votes,PSD_CDS_PPM_Mandates,PSD_CDS_PPM_Percentage,PSD_CDS_PPM_ValidVotesPercentage,PSD_CDS_PPM_Votes,CH_Mandates,CH_Percentage,CH_ValidVotesPercentage,CH_Votes,IL_Mandates,IL_Percentage,IL_ValidVotesPercentage,IL_Votes,BE_Mandates,BE_Percentage,BE_ValidVotesPercentage,BE_Votes,PCP_Mandates,PCP_Percentage,PCP_ValidVotesPercentage,PCP_Votes,L_Mandates,L_Percentage,L_ValidVotesPercentage,L_Votes,PAN_Mandates,PAN_Percentage,PAN_ValidVotesPercentage,PAN_Votes,ADN_Mandates,ADN_Percentage,ADN_ValidVotesPercentage,ADN_Votes,PSD_CDS_Mandates,PSD_CDS_Percentage,PSD_CDS_ValidVotesPercentage,PSD_CDS_Votes,RIR_Mandates,RIR_Percentage,RIR_ValidVotesPercentage,RIR_Votes,JPP_Mandates,JPP_Percentage,JPP_ValidVotesPercentage,JPP_Votes,ND_Mandates,ND_Percentage,ND_ValidVotesPercentage,ND_Votes,PCTP_MRPP_Mandates,PCTP_MRPP_Percentage,PCTP_MRPP_ValidVotesPercentage,PCTP_MRPP_Votes,VP_Mandates,VP_Percentage,VP_ValidVotesPercentage,VP_Votes,E_Mandates,E_Percentage,E_ValidVotesPercentage,E_Votes,MPT_A_Mandates,MPT_A_Percentage,MPT_A_ValidVotesPercentage,MPT_A_Votes,PTP_Mandates,PTP_Percentage,PTP_ValidVotesPercentage,PTP_Votes,NC_Mandates,NC_Percentage,NC_ValidVotesPercentage,NC_Votes,PPM_Mandates,PPM_Percentage,PPM_ValidVotesPercentage,PPM_Votes,TotalConsulates,TotalConsulatesApproved,TotalParishes,TotalParishesApproved
LOCAL-0302FA,"União das freguesias de Milhazes, Vilar de Figos e Faria",16,1.14,14,1.00,1,1403,76.75,0,16.96,17.33,238,0,48.54,49.60,681,0,17.89,18.28,251,0,4.06,4.15,57,0,2.21,2.26,31,0,0.71,0.73,10,0,2.14,2.18,30,0,0.64,0.66,9,0,3.42,3.50,48,0,0.00,0.00,0,0,0.29,0.29,4,0,0.00,0.00,0,0,0.36,0.36,5,0,0.29,0.29,4,0,0.29,0.29,4,0,0.07,0.07,1,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-0302FB,União das freguesias de Negreiros e Chavão,11,0.70,27,1.72,1,1570,75.12,0,7.83,8.03,123,0,59.75,61.23,938,0,17.64,18.08,277,0,4.52,4.63,71,0,1.53,1.57,24,0,0.19,0.20,3,0,0.96,0.98,15,0,0.64,0.65,10,0,3.38,3.46,53,0,0.00,0.00,0,0,0.57,0.59,9,0,0.00,0.00,0,0,0.45,0.46,7,0,0.06,0.07,1,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.06,0.07,1,0,0.00,0.00,0,31,0,3092,3092
LOCAL-0302FC,União das freguesias de Quintiães e Aguiar,11,1.49,4,0.54,1,738,74.17,0,18.16,18.53,134,0,44.31,45.23,327,0,22.36,22.82,165,0,2.98,3.04,22,0,2.44,2.49,18,0,0.68,0.69,5,0,1.36,1.38,10,0,0.95,0.97,7,0,2.98,3.04,22,0,0.00,0.00,0,0,0.41,0.41,3,0,0.14,0.14,1,0,0.68,0.69,5,0,0.14,0.14,1,0,0.14,0.14,1,0,0.14,0.14,1,0,0.14,0.14,1,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-0302FD,União das freguesias de Sequeade e Bastuço (São João e Santo Estevão),15,1.15,18,1.37,1,1310,75.55,0,23.82,24.43,312,0,33.82,34.69,443,0,24.43,25.06,320,0,3.82,3.92,50,0,2.82,2.90,37,0,0.99,1.02,13,0,1.37,1.41,18,0,1.37,1.41,18,0,2.29,2.35,30,0,0.00,0.00,0,0,1.15,1.17,15,0,0.15,0.16,2,0,0.61,0.63,8,0,0.31,0.31,4,0,0.15,0.16,2,0,0.23,0.23,3,0,0.08,0.08,1,0,0.00,0.00,0,0,0.08,0.08,1,0,0.00,0.00,0,31,0,3092,3092
LOCAL-0302FE,União das freguesias de Silveiros e Rio Covo (Santa Eulália),16,1.19,12,0.89,1,1348,74.60,0,25.45,25.98,343,0,37.61,38.41,507,0,19.14,19.55,258,0,4.23,4.32,57,0,3.86,3.94,52,0,1.48,1.52,20,0,1.26,1.29,17,0,1.34,1.36,18,0,1.63,1.67,22,0,0.00,0.00,0,0,0.74,0.76,10,0,0.07,0.08,1,0,0.45,0.45,6,0,0.15,0.15,2,0,0.22,0.23,3,0,0.15,0.15,2,0,0.15,0.15,2,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-0302FF,União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte,19,2.04,12,1.29,1,932,78.65,0,20.82,21.53,194,0,36.59,37.85,341,0,24.89,25.75,232,0,4.08,4.22,38,0,2.79,2.89,26,0,0.54,0.55,5,0,0.97,1.00,9,0,1.18,1.22,11,0,2.79,2.89,26,0,0.00,0.00,0,0,0.75,0.78,7,0,0.11,0.11,1,0,0.43,0.44,4,0,0.43,0.44,4,0,0.11,0.11,1,0,0.11,0.11,1,0,0.11,0.11,1,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-0302FG,"União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães",38,1.40,15,0.55,1,2710,77.21,0,25.54,26.04,692,0,41.81,42.64,1133,0,16.61,16.94,450,0,4.80,4.89,130,0,2.47,2.52,67,0,0.44,0.45,12,0,1.55,1.58,42,0,1.00,1.02,27,0,2.18,2.22,59,0,0.00,0.00,0,0,0.33,0.34,9,0,0.00,0.00,0,0,0.52,0.53,14,0,0.41,0.41,11,0,0.11,0.11,3,0,0.00,0.00,0,0,0.18,0.19,5,0,0.00,0.00,0,0,0.11,0.11,3,0,0.00,0.00,0,31,0,3092,3092
LOCAL-0302FH,União das freguesias de Vila Cova e Feitos,29,1.83,14,0.88,1,1584,71.29,0,17.30,17.78,274,0,48.61,49.97,770,0,18.43,18.95,292,0,3.72,3.83,59,0,2.46,2.53,39,0,1.07,1.10,17,0,1.39,1.43,22,0,1.01,1.04,16,0,1.77,1.82,28,0,0.00,0.00,0,0,0.44,0.45,7,0,0.06,0.06,1,0,0.32,0.32,5,0,0.13,0.13,2,0,0.19,0.19,3,0,0.13,0.13,2,0,0.13,0.13,2,0,0.00,0.00,0,0,0.13,0.13,2,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010000,Aveiro,7031,1.66,4577,1.08,147,423771,66.00,5,27.69,28.47,117348,7,35.13,36.12,148861,3,17.25,17.74,73110,1,5.11,5.26,21671,0,4.10,4.21,17358,0,1.38,1.42,5850,0,2.24,2.31,9510,0,1.72,1.77,7300,0,1.36,1.40,5753,0,0.00,0.00,0,0,0.46,0.47,1933,0,0.00,0.00,0,0,0.25,0.26,1076,0,0.29,0.29,1215,0,0.14,0.15,610,0,0.09,0.09,362,0,0.05,0.05,206,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010100,Águeda,509,1.86,297,1.09,11,27297,65.09,0,27.73,28.58,7570,0,35.27,36.34,9627,0,19.36,19.95,5285,0,4.57,4.71,1247,0,3.35,3.45,915,0,1.31,1.35,358,0,1.62,1.66,441,0,1.18,1.22,322,0,1.61,1.66,440,0,0.00,0.00,0,0,0.31,0.32,85,0,0.00,0.00,0,0,0.24,0.25,65,0,0.27,0.28,75,0,0.12,0.12,33,0,0.06,0.06,17,0,0.04,0.04,11,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
