LOCAL-010000,Aveiro,7031,1.66,4577,1.08,147,423771,66.00,5,27.69,28.47,117348,7,35.13,36.12,148861,3,17.25,17.74,73110,1,5.11,5.26,21671,0,4.10,4.21,17358,0,1.38,1.42,5850,0,2.24,2.31,9510,0,1.72,1.77,7300,0,1.36,1.40,5753,0,0.00,0.00,0,0,0.46,0.47,1933,0,0.00,0.00,0,0,0.25,0.26,1076,0,0.29,0.29,1215,0,0.14,0.15,610,0,0.09,0.09,362,0,0.05,0.05,206,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010100,Águeda,509,1.86,297,1.09,11,27297,65.09,0,27.73,28.58,7570,0,35.27,36.34,9627,0,19.36,19.95,5285,0,4.57,4.71,1247,0,3.35,3.45,915,0,1.31,1.35,358,0,1.62,1.66,441,0,1.18,1.22,322,0,1.61,1.66,440,0,0.00,0.00,0,0,0.31,0.32,85,0,0.00,0.00,0,0,0.24,0.25,65,0,0.27,0.28,75,0,0.12,0.12,33,0,0.06,0.06,17,0,0.04,0.04,11,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010103,Aguada de Cima,34,1.51,25,1.11,1,2248,61.84,0,24.02,24.67,540,0,35.81,36.77,805,0,24.11,24.76,542,0,3.69,3.79,83,0,3.56,3.65,80,0,0.71,0.73,16,0,1.91,1.96,43,0,0.58,0.59,13,0,1.82,1.87,41,0,0.00,0.00,0,0,0.40,0.41,9,0,0.00,0.00,0,0,0.27,0.27,6,0,0.27,0.27,6,0,0.09,0.09,2,0,0.04,0.05,1,0,0.09,0.09,2,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010109,Fermentelos,29,1.54,19,1.01,1,1885,66.73,0,11.72,12.03,221,0,53.32,54.71,1005,0,19.36,19.87,365,0,4.62,4.74,87,0,2.28,2.34,43,0,0.74,0.76,14,0,1.49,1.52,28,0,1.17,1.20,22,0,1.86,1.91,35,0,0.00,0.00,0,0,0.27,0.27,5,0,0.00,0.00,0,0,0.11,0.11,2,0,0.37,0.38,7,0,0.16,0.16,3,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010112,Macinhata do Vouga,24,1.37,17,0.97,1,1758,58.00,0,30.94,31.68,544,0,30.26,30.98,532,0,22.13,22.66,389,0,3.13,3.20,55,0,3.58,3.67,63,0,1.76,1.81,31,0,1.19,1.22,21,0,1.71,1.75,30,0,1.76,1.81,31,0,0.00,0.00,0,0,0.23,0.23,4,0,0.00,0.00,0,0,0.46,0.47,8,0,0.23,0.23,4,0,0.17,0.17,3,0,0.06,0.06,1,0,0.06,0.06,1,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010119,Valongo do Vouga,65,2.41,31,1.15,1,2694,63.27,0,31.96,33.14,861,0,30.18,31.29,813,0,20.56,21.32,554,0,4.31,4.46,116,0,2.49,2.58,67,0,1.78,1.85,48,0,1.30,1.35,35,0,1.34,1.39,36,0,1.60,1.66,43,0,0.00,0.00,0,0,0.33,0.35,9,0,0.00,0.00,0,0,0.22,0.23,6,0,0.30,0.31,8,0,0.00,0.00,0,0,0.04,0.04,1,0,0.04,0.04,1,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010121,União das freguesias de Águeda e Borralha,125,1.63,81,1.06,1,7652,64.66,0,29.09,29.90,2226,0,34.89,35.86,2670,0,17.38,17.86,1330,0,5.24,5.39,401,0,3.66,3.76,280,0,1.45,1.49,111,0,1.96,2.01,150,0,1.05,1.07,80,0,1.73,1.77,132,0,0.00,0.00,0,0,0.26,0.27,20,0,0.00,0.00,0,0,0.21,0.21,16,0,0.24,0.24,18,0,0.09,0.09,7,0,0.03,0.03,2,0,0.04,0.04,3,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010122,União das freguesias de Barrô e Aguada de Baixo,31,1.72,21,1.16,1,1806,62.71,0,25.53,26.28,461,0,39.76,40.94,718,0,19.05,19.61,344,0,4.21,4.33,76,0,2.66,2.74,48,0,0.28,0.29,5,0,1.33,1.37,24,0,1.27,1.31,23,0,1.99,2.05,36,0,0.00,0.00,0,0,0.33,0.34,6,0,0.00,0.00,0,0,0.39,0.40,7,0,0.06,0.06,1,0,0.06,0.06,1,0,0.11,0.11,2,0,0.11,0.11,2,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010123,"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão",27,2.88,11,1.17,1,937,70.66,0,24.44,25.47,229,0,39.38,41.05,369,0,23.16,24.14,217,0,2.88,3.00,27,0,1.60,1.67,15,0,0.64,0.67,6,0,0.85,0.89,8,0,0.53,0.56,5,0,1.71,1.78,16,0,0.00,0.00,0,0,0.32,0.33,3,0,0.00,0.00,0,0,0.00,0.00,0,0,0.32,0.33,3,0,0.11,0.11,1,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010124,União das freguesias de Recardães e Espinhel,81,2.20,42,1.14,1,3677,68.58,0,31.17,32.25,1146,0,31.82,32.92,1170,0,18.44,19.08,678,0,5.09,5.26,187,0,3.70,3.83,136,0,1.17,1.21,43,0,1.20,1.24,44,0,1.63,1.69,60,0,1.33,1.38,49,0,0.00,0.00,0,0,0.16,0.17,6,0,0.00,0.00,0,0,0.27,0.28,10,0,0.24,0.25,9,0,0.33,0.34,12,0,0.08,0.08,3,0,0.03,0.03,1,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
